kraken2.classification	count
Unclassified 	37
Faecalibacterium prausnitzii 	25
Faecalibacterium sp. I3-3-89 	15
Blautia wexlerae DSM 19850 	13
Faecalibacterium prausnitzii L2-6 	12
Faecalibacterium sp. HTF-F 	10
Faecalibacterium 	7
Subdoligranulum variabile 	4
Phocaeicola vulgatus 	4
Phocaeicola 	4
Faecalibacterium sp. I4-1-79 	3
Dorea longicatena 	3
Bacteroides 	3
Simiaoa sunii 	2
Pseudoclostridium thermosuccinogenes 	2
Phocaeicola dorei 	2
Parabacteroides merdae 	2
Bacteroides ovatus 	2
Others 	43