sequence	net_charge	gravy_index
TRINITY_DN102902_c0_g1_i1.p4	3.4953596825463404	-0.053333333333333344
TRINITY_DN1090249_c1_g1_i1.p3	-0.2369761637966441	0.15833333333333327
TRINITY_DN1091132_c10_g1_i1.p3	5.664575533327714	-0.18333333333333338
TRINITY_DN120464_c0_g1_i1.p6	1.7599150731655104	-1.3222222222222222
TRINITY_DN125192_c2_g1_i1.p8	1.499345686642343	0.27777777777777773
TRINITY_DN127733_c0_g2_i2.p2	-1.1087611379408422	-0.4207547169811321
TRINITY_DN129538_c3_g1_i1.p10	0.5011671475165533	0.24545454545454548
TRINITY_DN130289_c0_g1_i1.p1	0.5101596713046526	0.12272727272727273
TRINITY_DN131100_c0_g1_i5.p3	-2.0730877175800004	0.12499999999999994
TRINITY_DN131149_c0_g2_i1.p2	3.8442687995468865	0.04857142857142857
TRINITY_DN131424_c0_g1_i4.p5	0.9575298665793545	-0.15000000000000005
TRINITY_DN131740_c0_g1_i1.p1	11.476844181644793	-0.7530864197530864
TRINITY_DN133076_c0_g4_i1.p5	-0.32226295389458626	-0.823076923076923
TRINITY_DN133276_c1_g1_i1.p5	12.49081307616995	-1.3791666666666667
TRINITY_DN133479_c0_g1_i1.p5	0.758103612191301	1.52
TRINITY_DN133942_c0_g1_i2.p6	1.498478445484187	-2.9
TRINITY_DN134023_c3_g2_i2.p3	6.66241099010592	-0.5217391304347826
TRINITY_DN134571_c44_g1_i3.p7	-0.4996453124586552	0.14545454545454542
TRINITY_DN134643_c0_g1_i1.p1	6.843063257724089	1.1044117647058822
TRINITY_DN135543_c0_g2_i1.p1	2.7741061222302967	-1.4714285714285715
TRINITY_DN135554_c0_g1_i3.p9	-0.24189638780869938	1.0
TRINITY_DN135950_c1_g1_i1.p9	4.4551514542225945	-1.625
TRINITY_DN136118_c0_g1_i1.p1	6.486352912763379	-0.925
TRINITY_DN136156_c0_g2_i2.p9	2.75891607216651	-2.54
TRINITY_DN136312_c3_g1_i18.p3	0.8302642844190782	0.45428571428571424
TRINITY_DN136668_c3_g2_i2.p10	-0.510545303556666	2.05
TRINITY_DN136903_c2_g1_i6.p1	-2.2512651858195802	0.04556962025316455
TRINITY_DN136922_c1_g3_i3.p6	1.499345686642343	-1.5699999999999998
TRINITY_DN137096_c2_g1_i1.p3	0.8584028697537764	-0.8685714285714287
TRINITY_DN137096_c3_g3_i1.p7	-2.163050621361163	-0.14
TRINITY_DN137133_c9_g1_i1.p11	-0.4996453124586552	1.075
TRINITY_DN137258_c5_g1_i6.p11	-1.4985245515188106	2.157142857142857
TRINITY_DN137350_c1_g1_i5.p2	4.820881256402993	-0.26382978723404255
TRINITY_DN137631_c5_g1_i2.p3	5.952524861684349	0.2625
TRINITY_DN138200_c2_g1_i1.p2	6.471451156777411	-0.4138888888888889
TRINITY_DN138312_c4_g6_i3.p2	-8.082324755750037	-0.5833333333333334
TRINITY_DN138543_c2_g6_i1.p4	-0.23808692483648786	0.5857142857142857
TRINITY_DN138543_c2_g6_i2.p5	-1.2030046512060686	1.011111111111111
TRINITY_DN138674_c4_g1_i1.p5	2.7617165342397185	-1.2208333333333334
TRINITY_DN138681_c7_g1_i1.p3	6.748965082567494	-0.7515151515151516
TRINITY_DN139116_c3_g1_i4.p2	-4.511612648855622	-0.012500000000000011
TRINITY_DN139333_c4_g6_i1.p1	1.0223012465171593	-0.5639175257731959
TRINITY_DN139720_c6_g2_i1.p4	2.7571046111923003	0.13
TRINITY_DN140335_c3_g1_i1.p5	-0.4996453124586552	1.1833333333333333
TRINITY_DN140448_c4_g7_i2.p7	7.3931168084886725	-1.3575757575757574
TRINITY_DN140586_c3_g1_i1.p1	-3.2455776541570724	0.5054054054054054
TRINITY_DN140874_c2_g1_i5.p1	1.600342237511251	0.5154761904761904
TRINITY_DN140874_c2_g1_i6.p1	1.897076869404268	0.6450704225352112
TRINITY_DN140952_c1_g1_i1.p3	0.8404305408464099	-1.3176470588235294
TRINITY_DN141022_c2_g2_i1.p1	6.718218329988518	0.029577464788732383
TRINITY_DN141075_c3_g1_i1.p9	3.457961916195805	-1.7000000000000002
TRINITY_DN141075_c3_g1_i2.p4	3.457961916195805	-1.7000000000000002
TRINITY_DN141378_c0_g1_i1.p7	0.7637145362377202	-2.93
TRINITY_DN141713_c1_g2_i1.p1	7.478675041338613	-0.6947368421052632
TRINITY_DN141713_c1_g2_i3.p1	7.478675041338613	-0.6947368421052632
TRINITY_DN141948_c0_g1_i1.p8	-0.4996453124586552	1.45
TRINITY_DN142033_c3_g2_i1.p10	3.478534705545321	1.0142857142857142
TRINITY_DN142033_c4_g1_i1.p4	4.932176652548411	-0.4745098039215686
TRINITY_DN142115_c6_g1_i3.p7	-0.49952355251781144	-0.44444444444444453
TRINITY_DN142174_c7_g1_i1.p1	2.7621265953451957	-1.762962962962963
TRINITY_DN142178_c2_g1_i3.p4	-0.23797516479564518	-0.5318181818181817
TRINITY_DN142309_c15_g5_i3.p3	-5.150586252387636	-0.9428571428571428
TRINITY_DN142340_c0_g1_i1.p6	-4.485854886830691	-2.2
TRINITY_DN142388_c1_g1_i2.p11	0.8376300787732007	-1.9
TRINITY_DN142402_c3_g5_i2.p9	-2.2359671628976425	-2.04
TRINITY_DN142511_c2_g2_i11.p5	-0.1597029656410669	-1.4941176470588236
TRINITY_DN142526_c5_g1_i7.p5	1.7561056101932988	0.39999999999999997
TRINITY_DN142562_c4_g9_i3.p6	1.489444696543333	0.054545454545454494
TRINITY_DN142590_c2_g1_i1.p3	-1.2708832630638276	0.48999999999999994
TRINITY_DN142739_c1_g1_i1.p6	-0.49771209154360196	-1.25
TRINITY_DN142823_c1_g1_i2.p2	1.9260375560165715	-0.3238095238095238
TRINITY_DN142862_c0_g1_i1.p1	2.765916058517405	-1.048780487804878
TRINITY_DN142922_c7_g5_i2.p1	-3.195137013806164	0.4565789473684211
TRINITY_DN142969_c1_g1_i4.p2	1.4642985597988467	-0.9837837837837837
TRINITY_DN143018_c39_g5_i1.p16	0.4994774464831877	-1.4444444444444444
TRINITY_DN143018_c39_g5_i2.p17	-0.4978338514844458	-1.3599999999999999
TRINITY_DN143018_c44_g10_i2.p3	0.5004664475821874	1.259090909090909
TRINITY_DN143020_c3_g1_i1.p2	3.7611275943461955	0.15
TRINITY_DN143036_c3_g1_i1.p7	0.9363732117135286	-1.4307692307692308
TRINITY_DN143096_c2_g1_i1.p6	5.753098607296295	-1.5538461538461539
TRINITY_DN143156_c8_g1_i3.p1	-2.5360789991824415	-0.036263736263736274
TRINITY_DN143169_c2_g1_i6.p4	0.6748048241913602	-0.6545454545454545
TRINITY_DN143457_c1_g1_i1.p2	-2.4670469498032057	0.3782608695652174
TRINITY_DN143487_c2_g1_i3.p7	1.5011571476165524	-1.7333333333333334
TRINITY_DN143683_c0_g1_i8.p5	1.7677375193916154	-1.697058823529412
TRINITY_DN143683_c0_g2_i1.p14	0.49935568654234397	-0.0166666666666667
TRINITY_DN143974_c9_g2_i1.p5	3.759895073365508	-1.1333333333333333
TRINITY_DN143985_c1_g7_i1.p5	2.7618282942805616	-1.475
TRINITY_DN144001_c5_g1_i7.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144025_c2_g1_i1.p16	1.4581484572195973	-2.35
TRINITY_DN144044_c6_g1_i2.p2	5.935522949813264	-1.5209302325581397
TRINITY_DN144044_c6_g1_i4.p1	6.848338761658675	-1.5511627906976744
TRINITY_DN144063_c5_g2_i1.p7	0.7656477571527738	-1.8916666666666666
TRINITY_DN144187_c0_g1_i10.p9	0.7600368331063541	-3.357142857142857
TRINITY_DN144196_c3_g1_i2.p5	3.764965811909209	-2.357142857142857
TRINITY_DN144196_c3_g1_i4.p6	3.764965811909209	-2.357142857142857
TRINITY_DN144291_c5_g7_i1.p3	-1.1574714436613789	-0.9650000000000001
TRINITY_DN144384_c5_g1_i3.p1	0.8513299414972746	0.14399999999999996
TRINITY_DN144415_c2_g1_i4.p3	-0.23394218174174952	-0.7137931034482758
TRINITY_DN144424_c2_g1_i2.p9	-0.24979937590970713	1.8142857142857143
TRINITY_DN144465_c6_g1_i3.p4	4.847881721595304	-0.3407407407407408
TRINITY_DN144474_c1_g1_i1.p8	0.49935568654234397	1.49
TRINITY_DN144483_c7_g1_i1.p5	-0.3272949379474833	0.6285714285714286
TRINITY_DN144518_c0_g1_i3.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144555_c1_g1_i8.p3	0.8518777255913075	-1.0555555555555556
TRINITY_DN144558_c2_g1_i2.p7	-1.2620903870317939	-0.42
TRINITY_DN144559_c1_g1_i11.p8	1.5011571476165524	-1.7222222222222223
TRINITY_DN144610_c1_g1_i1.p4	-1.2313652397502244	-1.3928571428571428
TRINITY_DN144624_c4_g1_i1.p5	1.499345686642343	0.5571428571428572
TRINITY_DN144633_c0_g1_i1.p3	1.768726520490615	-0.8902439024390244
TRINITY_DN144643_c3_g1_i1.p3	4.751255358837987	-0.8571428571428571
TRINITY_DN144653_c7_g8_i1.p24	-4.485854886830691	-2.2
TRINITY_DN144672_c0_g1_i1.p5	-0.23809692473648925	-0.6846153846153846
TRINITY_DN144673_c2_g1_i6.p4	-0.23897416579464625	-0.37058823529411766
TRINITY_DN144690_c1_g2_i6.p2	5.837970731596291	-0.28974358974358977
TRINITY_DN144690_c1_g2_i9.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144720_c1_g1_i6.p3	-0.22893842195594516	-0.005000000000000027
TRINITY_DN144747_c1_g1_i4.p3	3.7591395922481947	-1.7192307692307693
TRINITY_DN144754_c1_g1_i1.p8	-1.496713090544601	0.33999999999999997
TRINITY_DN144771_c2_g7_i2.p1	2.603091325029448	-0.56
TRINITY_DN144811_c2_g1_i1.p6	0.763013836303355	-0.75
TRINITY_DN144811_c2_g1_i2.p6	0.763013836303355	-0.75
TRINITY_DN144823_c1_g2_i1.p4	1.58651987489693	-0.7428571428571429
TRINITY_DN144825_c5_g1_i5.p7	-1.2731021381706473	2.2818181818181817
TRINITY_DN144878_c1_g1_i1.p9	2.75891607216651	-2.088888888888889
TRINITY_DN144897_c3_g1_i5.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144937_c0_g1_i11.p13	1.4983566855433432	-1.64
TRINITY_DN144971_c2_g1_i1.p2	0.7572163712331426	-0.15416666666666667
TRINITY_DN144974_c2_g2_i18.p1	-2.139942772827148	-0.47741935483870973
TRINITY_DN145016_c4_g1_i1.p12	1.4983566855433432	-1.64
TRINITY_DN145016_c4_g1_i5.p11	1.4983566855433432	-1.64
TRINITY_DN145050_c1_g1_i3.p3	0.7989085699089822	-0.4827586206896552
TRINITY_DN145055_c3_g1_i3.p7	-0.49952355251781144	0.019999999999999973
TRINITY_DN145062_c3_g1_i3.p10	1.833830615700991	-3.7399999999999998
TRINITY_DN145141_c0_g1_i13.p2	0.767046819357251	-0.9800000000000001
TRINITY_DN145209_c1_g1_i7.p9	1.4983566855433432	-1.64
TRINITY_DN145228_c1_g1_i7.p6	-0.4996453124586552	1.875
TRINITY_DN145245_c6_g1_i2.p2	1.7584488922138295	-0.010344827586206905
TRINITY_DN145245_c6_g1_i5.p2	1.7584488922138295	-0.010344827586206905
TRINITY_DN145252_c3_g1_i1.p1	-1.9954339369250675	-0.4821917808219178
TRINITY_DN145261_c61_g1_i4.p3	0.498356685543343	1.3272727272727272
TRINITY_DN145264_c2_g1_i1.p4	-0.602802406632373	1.7227272727272727
TRINITY_DN145272_c4_g1_i1.p12	0.49935568654234397	1.78
TRINITY_DN145291_c1_g1_i10.p4	1.7618930753635103	-1.34
TRINITY_DN145291_c1_g1_i13.p4	2.7590826133903	-2.357142857142857
TRINITY_DN145291_c1_g1_i22.p5	-0.602802406632373	-0.02500000000000001
TRINITY_DN145292_c1_g1_i1.p9	-0.4978338514844458	0.21999999999999992
TRINITY_DN145297_c11_g1_i1.p3	0.8876506992560915	-0.43636363636363634
TRINITY_DN145300_c5_g1_i3.p9	1.5011571476165524	-2.033333333333333
TRINITY_DN145304_c3_g1_i2.p5	2.8498797235933053	-1.2999999999999998
TRINITY_DN145360_c4_g1_i1.p12	0.5865298747969309	-2.06
TRINITY_DN145367_c3_g1_i1.p12	1.3980100533428361	-2.3875
TRINITY_DN145373_c0_g1_i2.p5	2.4806192975078973	-1.6352941176470588
TRINITY_DN145389_c1_g1_i12.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN145391_c5_g1_i6.p8	0.5039676095897625	-2.5777777777777775
TRINITY_DN145391_c5_g1_i9.p5	0.5039676095897625	-2.5777777777777775
TRINITY_DN145401_c1_g1_i2.p7	1.5011571476165524	-1.7222222222222223
TRINITY_DN145422_c2_g1_i12.p2	-0.43991792759885406	-0.7125
TRINITY_DN145435_c1_g1_i3.p6	-0.5062436410095181	0.012499999999999983
TRINITY_DN145457_c2_g1_i4.p3	4.762155349935998	-1.8076923076923077
TRINITY_DN145458_c4_g1_i1.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN145467_c1_g1_i7.p6	0.7619030752635112	-1.9285714285714286
TRINITY_DN145477_c0_g1_i4.p4	-1.2620903870317939	0.020000000000000004
TRINITY_DN145502_c1_g1_i5.p5	0.763013836303355	-0.5636363636363636
TRINITY_DN145548_c0_g2_i1.p9	-1.4953436499115074	-0.82
TRINITY_DN145548_c1_g1_i5.p4	1.506384427484041	0.3333333333333333
TRINITY_DN145551_c2_g2_i1.p12	1.4983566855433432	-1.64
TRINITY_DN145575_c0_g1_i3.p4	0.502156148615553	-1.6777777777777778
TRINITY_DN145595_c1_g1_i27.p4	1.5011571476165524	-1.7222222222222223
TRINITY_DN145601_c1_g1_i10.p9	0.502156148615553	-0.7888888888888889
TRINITY_DN145645_c0_g1_i14.p9	-1.496834850485445	1.6749999999999998
TRINITY_DN145645_c0_g1_i6.p10	0.7591026131903019	0.32500000000000007
TRINITY_DN145655_c4_g1_i2.p3	3.584457091815979	-0.042307692307692296
TRINITY_DN145717_c0_g1_i3.p4	1.4814669274593748	-0.9666666666666667
TRINITY_DN145741_c0_g1_i2.p5	1.7620148353043539	-0.8869565217391304
TRINITY_DN145774_c5_g2_i5.p9	-3.1486712147022122	-0.4307692307692308
TRINITY_DN145839_c0_g1_i20.p2	1.0283828430972193	-0.6581395348837209
TRINITY_DN145854_c3_g1_i2.p7	0.8376300787732007	-1.9
TRINITY_DN145983_c5_g3_i1.p9	4.75521836923514	-1.5
TRINITY_DN151468_c5_g1_i1.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN32023_c2_g1_i2.p1	5.752046421708903	-0.6012987012987012
TRINITY_DN383657_c1_g2_i1.p7	1.5011571476165524	-1.7222222222222223
TRINITY_DN385865_c1_g1_i1.p3	0.7631355962441981	-0.792
TRINITY_DN391824_c1_g1_i1.p3	0.8475093224255761	-0.3888888888888889
TRINITY_DN60060_c0_g9_i1.p12	3.7946790459312925	-2.92
TRINITY_DN612198_c2_g1_i1.p1	3.9380451106218395	-1.5414634146341464
TRINITY_DN612741_c0_g1_i1.p9	0.7591026131903019	-0.3
TRINITY_DN615414_c0_g1_i1.p9	1.499345686642343	0.35000000000000003
TRINITY_DN7230_c1_g2_i2.p9	0.5029786084907628	-1.0625
TRINITY_DN851511_c0_g1_i1.p12	-0.4996453124586552	1.3285714285714285
TRINITY_DN85531_c0_g1_i1.p5	-2.234277461864277	-0.5499999999999999
TRINITY_DN85643_c0_g1_i1.p5	5.760809293481559	-2.068
TRINITY_DN92149_c2_g3_i1.p6	-1.5049243796102456	0.1583333333333333
